timestamp,memory_used_mb,memory_total_mb,gpu_utilization_percent,temperature_c,power_w
2026/09/14 19:09:13.613,1228.0,6141.0,34.0,50.0,26.28
2026/09/14 19:09:18.678,1228.0,6141.0,28.0,50.0,25.56
2026/09/14 19:09:23.740,1229.0,6141.0,26.0,50.0,25.63
2026/09/14 19:09:28.805,1223.0,6141.0,22.0,51.0,24.9
2026/09/14 19:09:33.877,1220.0,6141.0,27.0,50.0,26.12
2026/09/14 19:09:38.945,1220.0,6141.0,25.0,50.0,25.62
2026/09/14 19:09:44.012,1223.0,6141.0,25.0,50.0,25.37
2026/09/14 19:09:49.081,1225.0,6141.0,21.0,50.0,25.3
2026/09/14 19:09:54.154,1219.0,6141.0,31.0,50.0,25.35
2026/09/14 19:09:59.610,1228.0,6141.0,16.0,50.0,23.19
2026/09/14 19:10:05.831,1142.0,6141.0,10.0,50.0,19.41
2026/09/14 19:10:15.503,1124.0,6141.0,5.0,50.0,18.93
2026/09/14 19:10:22.366,1115.0,6141.0,27.0,49.0,26.18
2026/09/14 19:10:27.427,1119.0,6141.0,27.0,49.0,25.43
2026/09/14 19:10:32.489,1113.0,6141.0,27.0,49.0,25.59
2026/09/14 19:10:37.558,1113.0,6141.0,29.0,49.0,27.13
2026/09/14 19:10:42.638,1129.0,6141.0,20.0,49.0,25.61
2026/09/14 19:10:47.702,1110.0,6141.0,21.0,50.0,24.24
2026/09/14 19:10:52.764,1112.0,6141.0,21.0,50.0,25.73
2026/09/14 19:10:57.828,1112.0,6141.0,29.0,49.0,25.86
2026/09/14 19:11:02.900,1113.0,6141.0,27.0,50.0,25.95
2026/09/14 19:11:07.969,1112.0,6141.0,25.0,49.0,23.41
2026/09/14 19:11:13.032,1112.0,6141.0,20.0,50.0,25.64
2026/09/14 19:11:18.103,1112.0,6141.0,23.0,50.0,25.97
2026/09/14 19:11:23.172,1125.0,6141.0,23.0,50.0,25.47
2026/09/14 19:11:28.234,1153.0,6141.0,18.0,50.0,25.52
2026/09/14 19:11:33.304,1144.0,6141.0,29.0,50.0,25.07
2026/09/14 19:11:38.373,1155.0,6141.0,24.0,50.0,25.52
2026/09/14 19:11:43.431,1206.0,6141.0,20.0,50.0,25.5
2026/09/14 19:11:48.505,1146.0,6141.0,30.0,49.0,24.88
2026/09/14 19:11:53.590,1139.0,6141.0,23.0,48.0,22.53
2026/09/14 19:11:58.660,1146.0,6141.0,27.0,49.0,25.4
2026/09/14 19:12:03.731,1139.0,6141.0,19.0,49.0,24.25
2026/09/14 19:12:08.799,1138.0,6141.0,28.0,50.0,26.74
2026/09/14 19:12:13.867,1137.0,6141.0,30.0,50.0,26.99
2026/09/14 19:12:18.933,1137.0,6141.0,26.0,51.0,25.15
2026/09/14 19:12:24.016,1137.0,6141.0,24.0,50.0,25.69
2026/09/14 19:12:29.075,1136.0,6141.0,25.0,50.0,25.04
2026/09/14 19:12:34.174,1136.0,6141.0,25.0,50.0,26.08
2026/09/14 19:12:39.241,1136.0,6141.0,19.0,51.0,22.38
2026/09/14 19:12:44.310,1136.0,6141.0,27.0,51.0,25.62
2026/09/14 19:12:49.369,1136.0,6141.0,21.0,51.0,24.65
2026/09/14 19:12:54.449,1136.0,6141.0,28.0,51.0,25.89
2026/09/14 19:12:59.510,1136.0,6141.0,23.0,51.0,25.34
2026/09/14 19:13:04.574,1136.0,6141.0,21.0,51.0,24.32
2026/09/14 19:13:09.636,1152.0,6141.0,21.0,51.0,25.83
2026/09/14 19:13:14.698,1148.0,6141.0,25.0,52.0,25.81
2026/09/14 19:13:19.768,1147.0,6141.0,26.0,51.0,26.85
2026/09/14 19:13:24.838,1153.0,6141.0,28.0,51.0,25.83
2026/09/14 19:13:29.896,1146.0,6141.0,27.0,52.0,28.27
2026/09/14 19:13:34.965,1139.0,6141.0,19.0,52.0,25.82
2026/09/14 19:13:40.032,1139.0,6141.0,41.0,55.0,36.22
2026/09/14 19:13:45.103,1136.0,6141.0,21.0,53.0,27.89
2026/09/14 19:13:50.173,1136.0,6141.0,26.0,53.0,25.64
